n,gameOver,head,score,visionUp,visionRight,visionDown,visionLeft,directionChoice
4,0,"[7, 7]",0,0.0,1.0,0.0,0.0,0
5,0,"[6, 7]",0,0.0,0.0,1.0,0.0,1
6,0,"[6, 8]",0,0.0,0.0,0.0,1.0,1
7,0,"[6, 9]",0,0.0,1.0,0.0,1.0,0
8,1,"[5, 9]",0,0.0,1.0,1.0,0.0,1
0,0,"[5, 7]",0,0.0,0.0,0.0,1.0,3
1,0,"[5, 8]",0,0.0,0.0,0.0,1.0,2
2,0,"[6, 8]",0,1.0,0.0,0.0,0.0,1
3,1,"[6, 9]",0,0.0,1.0,0.0,1.0,3
0,0,"[7, 5]",0,1.0,0.0,0.0,0.0,3
1,0,"[7, 4]",0,0.0,1.0,0.0,0.0,3
2,0,"[7, 3]",0,0.0,1.0,0.0,0.0,2
3,0,"[8, 3]",0,1.0,0.0,0.0,0.0,0
4,1,"[9, 3]",0,1.0,0.0,1.0,0.0,2
0,0,"[7, 5]",0,1.0,0.0,0.0,0.0,3
1,0,"[7, 4]",0,0.0,1.0,0.0,0.0,2
2,0,"[8, 4]",0,1.0,0.0,0.0,0.0,1
3,0,"[8, 5]",0,0.0,0.0,0.0,1.0,0
4,0,"[7, 5]",0,0.0,0.0,1.0,0.0,0
5,0,"[6, 5]",0,0.0,0.0,1.0,0.0,1
6,0,"[6, 6]",0,0.0,0.0,0.0,1.0,1
7,0,"[6, 7]",0,0.0,0.0,0.0,1.0,1
8,0,"[6, 8]",0,0.0,0.0,0.0,1.0,1
9,1,"[6, 9]",0,0.0,1.0,0.0,1.0,3
0,0,"[5, 7]",0,0.0,0.0,0.0,1.0,3
1,0,"[5, 8]",0,0.0,0.0,0.0,1.0,0
2,0,"[4, 8]",0,0.0,0.0,1.0,0.0,1
3,0,"[4, 9]",0,0.0,1.0,0.0,1.0,0
4,0,"[3, 9]",0,0.0,1.0,1.0,0.0,3
5,0,"[3, 8]",0,0.0,1.0,0.0,0.0,1
6,0,"[3, 7]",0,0.0,1.0,0.0,0.0,3
7,0,"[3, 6]",0,0.0,1.0,0.0,0.0,1
8,0,"[3, 5]",0,0.0,1.0,0.0,0.0,2
9,0,"[4, 5]",0,1.0,0.0,0.0,0.0,3
10,0,"[4, 4]",0,0.0,1.0,0.0,0.0,0
11,0,"[3, 4]",0,0.0,0.0,1.0,0.0,3
12,0,"[3, 3]",0,0.0,1.0,0.0,0.0,2
13,0,"[4, 3]",0,1.0,0.0,0.0,0.0,1
14,0,"[4, 4]",0,0.0,0.0,0.0,1.0,0
15,0,"[3, 4]",0,0.0,0.0,1.0,0.0,0
16,0,"[2, 4]",0,0.0,0.0,1.0,0.0,3
17,0,"[2, 3]",0,0.0,1.0,0.0,0.0,3
18,0,"[2, 2]",0,0.0,1.0,0.0,0.0,2
19,0,"[3, 2]",0,1.0,0.0,0.0,0.0,0
20,0,"[4, 2]",0,1.0,0.0,0.0,0.0,2
21,0,"[5, 2]",0,1.0,0.0,0.0,0.0,2
22,0,"[6, 2]",0,1.0,0.0,0.0,0.0,3
23,0,"[6, 1]",0,0.0,1.0,0.0,0.0,1
24,1,"[6, 0]",0,0.0,1.0,0.0,1.0,3
0,0,"[5, 7]",0,0.0,0.0,0.0,1.0,0
1,0,"[4, 7]",0,0.0,0.0,1.0,0.0,3
2,0,"[4, 6]",0,0.0,1.0,0.0,0.0,2
3,0,"[5, 6]",0,1.0,0.0,0.0,0.0,1
4,0,"[5, 7]",0,0.0,0.0,0.0,1.0,2
5,0,"[6, 7]",0,1.0,0.0,0.0,0.0,0
6,0,"[7, 7]",0,1.0,0.0,0.0,0.0,1
7,0,"[7, 8]",1,0.0,0.0,0.0,1.0,0
8,0,"[6, 8]",1,0.0,0.0,1.0,1.0,1
9,1,"[6, 9]",1,0.0,1.0,0.0,1.0,1
0,0,"[7, 5]",0,1.0,0.0,0.0,0.0,2
1,0,"[8, 5]",0,1.0,0.0,0.0,0.0,1
2,0,"[8, 6]",0,0.0,0.0,0.0,1.0,3
3,0,"[8, 7]",0,0.0,0.0,0.0,1.0,3
4,0,"[8, 8]",0,0.0,0.0,0.0,1.0,3
5,0,"[8, 9]",0,0.0,1.0,0.0,1.0,2
6,1,"[9, 9]",0,1.0,1.0,1.0,0.0,0
0,0,"[7, 5]",0,1.0,0.0,0.0,0.0,2
1,0,"[8, 5]",0,1.0,0.0,0.0,0.0,1
2,0,"[8, 6]",0,0.0,0.0,0.0,1.0,2
3,0,"[9, 6]",0,1.0,0.0,1.0,0.0,1
4,0,"[9, 7]",0,0.0,0.0,1.0,1.0,1
5,1,"[9, 8]",0,0.0,0.0,1.0,1.0,2
0,0,"[7, 5]",0,1.0,0.0,0.0,0.0,1
1,0,"[7, 6]",0,0.0,0.0,0.0,1.0,2
2,0,"[8, 6]",0,1.0,0.0,0.0,0.0,3
3,0,"[8, 5]",0,0.0,1.0,0.0,0.0,3
4,0,"[8, 4]",0,0.0,1.0,0.0,0.0,1
5,0,"[8, 3]",0,0.0,1.0,0.0,0.0,1
6,0,"[8, 2]",0,0.0,1.0,0.0,0.0,2
7,0,"[9, 2]",0,1.0,0.0,1.0,0.0,3
8,1,"[9, 1]",0,0.0,1.0,1.0,0.0,2
0,0,"[5, 7]",0,0.0,0.0,0.0,1.0,0
1,0,"[4, 7]",0,0.0,0.0,1.0,0.0,1
2,0,"[4, 8]",0,0.0,0.0,0.0,1.0,1
3,1,"[4, 9]",0,0.0,1.0,0.0,1.0,1
0,0,"[7, 5]",0,1.0,0.0,0.0,0.0,0
1,0,"[8, 5]",0,1.0,0.0,0.0,0.0,0
2,0,"[9, 5]",0,1.0,0.0,1.0,0.0,1
3,0,"[9, 6]",0,0.0,0.0,1.0,1.0,0
4,0,"[8, 6]",0,0.0,0.0,1.0,0.0,2
5,0,"[7, 6]",0,0.0,0.0,1.0,0.0,3
6,0,"[7, 5]",0,0.0,1.0,0.0,0.0,1
7,0,"[7, 4]",0,0.0,1.0,0.0,0.0,3
8,0,"[7, 3]",0,0.0,1.0,0.0,0.0,1
9,0,"[7, 2]",0,0.0,1.0,0.0,0.0,1
10,0,"[7, 1]",0,0.0,1.0,0.0,0.0,0
11,0,"[6, 1]",0,0.0,0.0,1.0,0.0,3
12,1,"[6, 0]",0,0.0,1.0,0.0,1.0,3
0,0,"[5, 7]",0,0.0,0.0,0.0,1.0,3
1,0,"[5, 8]",0,0.0,0.0,0.0,1.0,0
2,0,"[4, 8]",0,0.0,0.0,1.0,0.0,2
3,0,"[3, 8]",0,0.0,0.0,1.0,0.0,0
4,0,"[2, 8]",0,0.0,0.0,1.0,0.0,1
5,0,"[2, 9]",0,0.0,1.0,0.0,1.0,2
6,1,"[3, 9]",0,1.0,1.0,0.0,0.0,1
0,0,"[5, 7]",0,0.0,0.0,0.0,1.0,2
1,0,"[6, 7]",0,1.0,0.0,0.0,0.0,3
2,0,"[6, 6]",0,0.0,1.0,0.0,0.0,1
3,0,"[6, 5]",0,0.0,1.0,0.0,0.0,1
4,0,"[6, 4]",0,0.0,1.0,0.0,0.0,1
5,0,"[6, 3]",0,0.0,1.0,0.0,0.0,1
6,0,"[6, 2]",0,0.0,1.0,0.0,0.0,1
7,0,"[6, 1]",0,0.0,1.0,0.0,0.0,2
8,0,"[7, 1]",0,1.0,0.0,0.0,0.0,3
9,1,"[7, 0]",0,0.0,1.0,0.0,1.0,3
